subject,Caspase subgraph,Chaperone subgraph,GRB10 subgraph,Interferon signaling subgraph,Insulin signal transduction,Interleukin signaling subgraph,MAPK subgraph,miRNA subgraph,Notch signaling subgraph,RhoA subgraph,Amyloidogenic subgraph,Akt/mTOR subgraph,Apoptosis signaling subgraph,Autophagy signaling subgraph,ATP13A2 subgraph,APOE subgraph,Bcl-2 subgraph,Calcium-dependent signal transduction,Calsyntenin subgraph,Cholesterol metabolism subgraph,Cell cycle subgraph,Cyclic AMP subgraph,Cytokine signaling subgraph,DNA synthesis,Dopaminergic subgraph,Disaccharide metabolism subgraph,Endoplasmic reticulum-Golgi protein export,Energy metabolic subgraph,Estrogen subgraph,FMR1 subgraph,Folate metabolic subgraph,GABA subgraph,GSK3 subgraph,G-protein-mediated signaling,Innate immune system subgraph,Lipid metabolism subgraph,LRRK2 subgraph,Matrix metalloproteinase subgraph,Mitochondria fission subgraph,Mitochondria fusion subgraph,Mitochondrial subgraph,Mitophagy subgraph,Nuclear factor Kappa beta subgraph,Neurotrophic subgraph,Nitric oxide subgraph,PINK1 subgraph,Phosphatidylinositol 3 subgraph,Pre-translational events,Post-translational events,Regulation of cytoskeleton subgraph,Response to oxidative stress,Reactive oxygen species subgraph,Synuclein subgraph,Tau protein subgraph,Transcription subgraph,Transport related subgraph,Toll like receptor subgraph,Tumor necrosis factor subgraph,Ubiquitin subgraph,Unfolded protein response subgraph,Vascular endothelial growth factor subgraph,Vitamin subgraph,Wnt signaling subgraph,CRH subgraph
PPMISI41471,0,0.0833333333,0,0.0465116279,0,0.0020533881,nan,0,0.2307692308,nan,0,0.0163934426,0.06875,nan,nan,nan,0.0196078431,nan,0,0,nan,nan,nan,0,0,nan,0,nan,nan,0.2222222222,0,nan,0,0,0.0789473684,nan,0,nan,0,0.0526315789,nan,nan,0,0,nan,0,0.0769230769,0,0.0612244898,nan,nan,0.3,nan,0.0743243243,0.03125,nan,nan,0.0471976401,0,0.1428571429,0,0,0.125,
PPMISI41473,0.0588235294,0.0281690141,0,0.0377358491,0,0,0,0.0810810811,0,nan,nan,0.0444444444,0.1142857143,nan,nan,0.25,0.0238095238,nan,0,0.037037037,nan,nan,0,0,nan,0,0.1111111111,nan,nan,0.2142857143,0,0.2307692308,0.0277777778,0,0.2142857143,nan,0,nan,0.037037037,0.0697674419,nan,0,0.0526315789,nan,0.2222222222,0.04,0.1052631579,0,0.04,0.2857142857,0,0.1,nan,0.1666666667,0,nan,nan,0.0422535211,0,nan,0,nan,nan,
PPMISI41486,0.0625,0.0476190476,0,0.0350877193,0.0588235294,0.0161662818,0,0.1666666667,0.5,nan,0.25,0.0508474576,0.0677966102,nan,nan,nan,0.03125,nan,0,0.05,nan,nan,nan,0,0.06,0,0.0833333333,nan,nan,0.1111111111,0,0.0909090909,0.0555555556,0,0.0731707317,nan,0,nan,0.037037037,0.0465116279,nan,nan,0,nan,nan,nan,0.1052631579,0,0.0535714286,nan,0,0.1034482759,nan,0.1639344262,0,nan,nan,0.0148698885,0,nan,0,nan,nan,
PPMISI41488,0.0416666667,0,nan,0.0263157895,0,0.0044843049,0,0,0.0545454545,nan,0.2,0.0555555556,0.062992126,nan,nan,0,0.037037037,nan,0,0.0169491525,nan,nan,nan,0,0.0588235294,nan,0,nan,nan,0.2,0,nan,0.0275229358,0,0.2,nan,0,nan,0,0,nan,0,0,nan,0,nan,0,0,0.038961039,nan,0,0.5,nan,0.2857142857,0.0535714286,nan,0,0.022556391,0,0,0,nan,nan,
PPMISI41508,0,0.0625,0,0.0833333333,0,0.0024570025,0,0.1111111111,0,nan,nan,0,0,nan,nan,0.0454545455,0,nan,0,0.0166666667,nan,nan,0,0.0833333333,0,0,0,nan,nan,0.3333333333,0.0606060606,nan,0.0227272727,0,0.0588235294,nan,0,nan,0,0.0281690141,nan,nan,0,nan,nan,nan,0.1538461538,0,0.0276243094,nan,0.0307692308,0,nan,0.1136363636,0,nan,0,0.0339622642,nan,0,0.25,0,0,
PPMISI41519,0.0555555556,0.0227272727,0,0.0229885057,0,0,nan,0.0196078431,0.0754716981,nan,0,0.0196078431,0.0655737705,nan,nan,0.2,0.0196078431,nan,0,0.0625,nan,nan,0,0,nan,0,nan,nan,nan,0.3333333333,0.0952380952,nan,0,0,nan,nan,0,nan,0,0.0462962963,nan,0,0.019138756,nan,nan,0.0384615385,0.2,0,0.0224719101,0.2857142857,0.0461538462,0,nan,0.0879120879,0,nan,0,0.0154639175,0,nan,0.3333333333,0,nan,
PPMISI41521,0.0476190476,0.04,0,0.0909090909,0,0.0088691796,0,0.1578947368,0.0888888889,nan,nan,0.0222222222,0.1111111111,nan,nan,nan,0.032967033,nan,nan,0.0294117647,nan,nan,nan,0,nan,nan,0.3333333333,nan,nan,0.1153846154,0,nan,0.017699115,0,0.1111111111,nan,0,nan,0,0.0714285714,nan,nan,0.05,nan,0,nan,0.05,0,0.0375,0.2857142857,0.0281690141,0.2,nan,0.0630630631,0.0571428571,nan,nan,0.0083333333,0,nan,0,0,0.1111111111,
PPMISI41522,0,0.0535714286,0,0.0454545455,0,0.0071599045,0,0.1333333333,0.027027027,nan,nan,0.0724637681,0.0740740741,nan,nan,0.3333333333,0.0447761194,nan,0,0.0256410256,nan,nan,nan,0.1111111111,0.06,nan,0.5,nan,nan,0.1111111111,0,nan,0.04,0.1,0.1111111111,nan,0,nan,nan,0.0410958904,nan,nan,0.04,nan,0,0.04,0.0666666667,0,0.0677966102,nan,0,0,nan,0.1395348837,0.0204081633,nan,nan,0.0338983051,0,nan,0,0,nan,
PPMISI41523,0.037037037,0.0384615385,0,0.0285714286,0,0.0056603774,0,0,0,nan,nan,0.0526315789,0.0657894737,nan,nan,0.0392156863,0.0909090909,nan,0,0.0222222222,nan,nan,0,0.0555555556,0,0,0.125,nan,nan,nan,nan,nan,0.0317460317,0,0.1111111111,nan,0,nan,0,0.0337552743,nan,nan,0,0,nan,nan,0.0833333333,0,0.0211267606,nan,0.0533333333,0.2857142857,nan,0.0526315789,0.0208333333,nan,nan,0.011627907,nan,0.1428571429,0,nan,0.1111111111,
PPMISI41526,0.0625,0.014084507,0,0.0087719298,0,0,0,0.0204081633,0.08,nan,nan,0,0.0655737705,nan,nan,0.1,0.0476190476,nan,0,0.0526315789,nan,nan,0,0.0833333333,0,nan,0,nan,nan,0.1363636364,0.0952380952,nan,0.0114942529,0,0.1363636364,nan,0,nan,0,0.0740740741,nan,0,0.0186046512,nan,0,0.0384615385,0.125,0,0.0539215686,0.2857142857,0,0,nan,0.064516129,0,nan,0,0.0333333333,0,nan,0,0,0.125,
